k,t,Bus_IMU.imu_gyro.1,Bus_IMU.imu_gyro.2,Bus_IMU.imu_gyro.3,Bus_IMU.imu_acc.1,Bus_IMU.imu_acc.2,Bus_IMU.imu_acc.3,Bus_Cmd.F_des.1,Bus_Cmd.q_des.1,Bus_Cmd.q_des.2,Bus_Cmd.q_des.3,Bus_Cmd.q_des.4,Bus_Cmd.q_ref.1,Bus_Cmd.q_ref.2,Bus_Cmd.q_ref.3,Bus_Cmd.q_ref.4,Bus_Cmd.Omega_ref.1,Bus_Cmd.Omega_ref.2,Bus_Cmd.Omega_ref.3,Bus_Cmd.tau_ref.1,Bus_Cmd.tau_ref.2,Bus_Cmd.tau_ref.3,Bus_Cmd.q_ext.1,Bus_Cmd.q_ext.2,Bus_Cmd.q_ext.3,Bus_Cmd.q_ext.4,Bus_Cmd.estop.1,Bus_Cmd.ack.1,batt_count.1,btn_ack.1,rotor_cmd.1,rotor_cmd.2,rotor_cmd.3,rotor_cmd.4,led.1,throttle.1,throttle.2,throttle.3,throttle.4
22,0.021999999999999999,0.18462847911908897,-0.18318081410422077,0.18327090453825373,0.14092427878351965,-0.21381568213020363,-3.1016145840667484,9.4668416394543282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.99997702188282389,0.0027675412179512622,-0.0055350824359025243,0.0027675412179512622,0,0,944,0,1129.6902862258421,1109.276125645802,1132.5224907507429,1113.844071373059,0,23.63599399635693,23.107235512124461,23.710014602272452,23.224822658122473
23,0.023,0.18373399782781283,-0.18033062127475935,0.18006402884028336,0.088880263868333531,-0.082062591800618589,-3.4403176915012579,9.4668416394543282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.99997702188282389,0.0027675412179512622,-0.0055350824359025243,0.0027675412179512622,0,0,944,0,1127.9878065754704,1111.0320717981172,1130.7295497304938,1115.6394588437981,0,23.591576570057949,23.152386824717695,23.663136808139612,23.271154555261283
24,0.024,0.18394899173198934,-0.18471782595146441,0.17913412104920801,0.098705542465460455,-0.2876550406939502,-3.660637986648708,9.4668416394543282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.99997702188282389,0.0027675412179512622,-0.0055350824359025243,0.0027675412179512622,0,0,944,0,1127.9211255548112,1109.986009874586,1131.6011126949174,1115.8644125822157,0,23.589838056851722,23.125481527231997,23.685916428052678,23.276964313894545
25,0.025000000000000001,0.18179413339289832,-0.18123764277222726,0.1817019287626308,0.0109596398502321,-0.14840257343315683,-3.7100901386886722,9.4180120242927341,0.99997606444981646,0.0041513118269268937,-0.0055350824359025243,0,1,0,0,0,0,0,0,0,0,0,0.99997223470861951,0,0.0027675412179512622,0.0069188530448781559,0,0,944,0,1133.1092696829112,1116.9449819366373,1132.3347226076166,1091.0181245452031,0,23.725370375646033,23.304885824979756,23.705102241378064,22.641464585123209
26,0.026000000000000002,0.17858988451922989,-0.17943808075093409,0.18285298394504135,-0.11755316518009898,-0.091064565317816648,-3.8116953237456226,9.4180120242927341,0.99997606444981646,0.0041513118269268937,-0.0055350824359025243,0,1,0,0,0,0,0,0,0,0,0,0.99997223470861951,0,0.0027675412179512622,0.0069188530448781559,0,0,944,0,1137.4285374400797,1113.1572926286044,1136.5774473399385,1085.9714784959513,0,23.838616113984859,23.207116805938767,23.81627206520054,22.513918085457568
27,0.027,0.18213933326544582,-0.18065603898143417,0.1804836055172595,0.061852462329833935,-0.17356014373069753,-4.0617345037652246,9.4180120242927341,0.99997606444981646,0.0041513118269268937,-0.0055350824359025243,0,1,0,0,0,0,0,0,0,0,0,0.99997223470861951,0,0.0027675412179512622,0.0069188530448781559,0,0,944,0,1138.5170431254073,1112.0992227752392,1137.0967675312297,1085.3710813862201,0,23.867214255507921,23.179857338553909,23.829904286789787,22.498778522704672
28,0.028000000000000001,0.17929928426346695,-0.18657431189145962,0.1834414605488571,-0.043658622754251863,-0.46969699497720846,-4.0637254741204796,9.4180120242927341,0.99997606444981646,0.0041513118269268937,-0.0055350824359025243,0,1,0,0,0,0,0,0,0,0,0,0.99997223470861951,0,0.0027675412179512622,0.0069188530448781559,0,0,944,0,1143.733914971328,1106.0707189278746,1143.5585235700225,1079.2401871079765,0,24.004604987813202,23.024974554134353,23.999977079452904,22.344604001950692
29,0.029000000000000001,0.18238925277824691,-0.18473461405153202,0.1831970057833171,0.11834173350161832,-0.41772568293726392,-4.2022659333889134,9.4180120242927341,0.99997606444981646,0.0041513118269268937,-0.0055350824359025243,0,1,0,0,0,0,0,0,0,0,0,0.99997223470861951,0,0.0027675412179512622,0.0069188530448781559,0,0,944,0,1146.850857364564,1103.3400890432117,1145.8340609756192,1076.3100136132618,0,24.086951509110921,22.955062030192018,24.060067471283357,22.271190051716509
30,0.029999999999999999,0.18543855910366486,-0.18124467567239042,0.18294817592355811,0.27813773549058407,-0.29101466674519716,-4.3343524834486749,9.4180120242927341,0.99997606444981646,0.0041513118269268937,-0.0055350824359025243,0,1,0,0,0,0,0,0,0,0,0,0.99997223470861951,0,0.0027675412179512622,0.0069188530448781559,0,0,944,0,1150.0030435709762,1100.7633627004091,1147.9005079072092,1073.3790685885983,0,24.170426020958338,22.88922855380553,24.114725819159737,22.197932742264122
31,0.031,0.18208667548622035,-0.1855790263646418,0.18221018438703915,0.14874342449372283,-0.514579539105112,-4.4823452859954607,9.4180120242927341,0.99997606444981646,0.0041513118269268937,-0.0055350824359025243,0,1,0,0,0,0,0,0,0,0,0,0.99997223470861951,0,0.0027675412179512622,0.0069188530448781559,0,0,944,0,1151.5002607251843,1098.6995507143827,1150.5348558713938,1071.0654387378083,0,24.210143806412795,22.836596851268311,24.184528691596611,22.140229298839053
